INSERT INTO "producto" ("nombre", "categoria", "subcategoria", "subsubcategoria", "marca", "peso", "descripcion", "precio", "imgpath1", "imgpath2", "imgpath3") VALUES
('Lechuga', 'Verduras', 'Vegetales Frescos', NULL, 'Marca U', '1 pieza', 'Lechuga romana', 1.20,'Lechuga_1.png', 'Lechuga_2.png', 'Lechuga_3.png'),
('Papas', 'Verduras', 'Tubérculos', NULL, 'Marca V', '1 kg', 'Papas blancas', 1.80,'Papas_1.png', 'Papas_2.png', 'Papas_3.png'),
('Cebolla', 'Verduras', 'Vegetales Frescos', NULL, 'Marca W', '1 kg', 'Cebolla amarilla', 1.50,'Cebolla_1.png', 'Cebolla_2.png', 'Cebolla_3.png'),
('Ajo', 'Verduras', 'Vegetales Frescos', NULL, 'Marca X', '200 g', 'Ajo blanco', 2.00,'Ajo_1.png', 'Ajo_2.png', 'Ajo_3.png'),
('Pollo', 'Carnes', 'Aves', NULL, 'Marca Y', '1 kg', 'Pechuga de pollo fresca', 5.00,'Pollo_1.png', 'Pollo_2.png', 'Pollo_3.png'),
('Res', 'Carnes', 'Carnes Rojas', NULL, 'Marca Z', '1 kg', 'Carne de res para asar', 7.50,'Res_1.png', 'Res_2.png', 'Res_3.png'),
('Pescado', 'Pescados y Mariscos', 'Pescados', NULL, 'Marca AA', '1 kg', 'Filete de salmón', 10.00,'Pescado_1.png', 'Pescado_2.png', 'Pescado_3.png'),
('Camarón', 'Pescados y Mariscos', 'Mariscos', NULL, 'Marca BB', '500 g', 'Camarones grandes', 8.00,'Camarón_1.png', 'Camarón_2.png', 'Camarón_3.png'),
('Huevos', 'Huevos', 'Huevos de Gallina', NULL, 'Marca CC', '12 unidades', 'Huevos frescos', 2.40,'Huevos_1.png', 'Huevos_2.png', 'Huevos_3.png'),
('Tofu', 'Proteínas Vegetales', 'Soja', NULL, 'Marca DD', '250 g', 'Tofu orgánico', 2.50,'Tofu_1.png', 'Tofu_2.png', 'Tofu_3.png'),
('Lentejas', 'Legumbres', 'Lentejas', NULL, 'Marca EE', '1 kg', 'Lentejas secas', 1.80,'Lentejas_1.png', 'Lentejas_2.png', 'Lentejas_3.png'),
('Garbanzos', 'Legumbres', 'Garbanzos', NULL, 'Marca FF', '1 kg', 'Garbanzos secos', 1.90,'Garbanzos_1.png', 'Garbanzos_2.png', 'Garbanzos_3.png'),
('Jugo de Naranja', 'Bebidas', 'Jugos', 'Natural', 'Marca GG', '1 litro', 'Jugo de naranja natural', 3.00,'Jugo de Naranja_1.png', 'Jugo de Naranja_2.png', 'Jugo de Naranja_3.png'),
('Café', 'Bebidas', 'Café', 'Molido', 'Marca HH', '250 g', 'Café molido', 4.00,'Café_1.png', 'Café_2.png', 'Café_3.png'),
('Té Verde', 'Bebidas', 'Té', 'Verde', 'Marca II', '20 bolsitas', 'Té verde orgánico', 2.50,'Té Verde_1.png', 'Té Verde_2.png', 'Té Verde_3.png'),
('Cereal', 'Desayuno', 'Cereales de Desayuno', NULL, 'Marca JJ', '500 g', 'Cereal integral', 3.20,'Cereal_1.png', 'Cereal_2.png', 'Cereal_3.png'),
('Granola', 'Desayuno', 'Cereales de Desayuno', NULL, 'Marca KK', '500 g', 'Granola con frutos secos', 4.00,'Granola_1.png', 'Granola_2.png', 'Granola_3.png'),
('Barra de Energía', 'Desayuno', 'Barras Energéticas', NULL, 'Marca LL', '50 g', 'Barra de energía con chocolate', 1.20,'Barra de Energía_1.png', 'Barra de Energía_2.png', 'Barra de Energía_3.png'),
('Helado', 'Postres', 'Helados', 'Vainilla', 'Marca MM', '500 ml', 'Helado de vainilla', 3.50,'Helado_1.png', 'Helado_2.png', 'Helado_3.png'),
('Galletas', 'Postres', 'Galletas', 'Chocolate', 'Marca NN', '200 g', 'Galletas de chocolate', 2.00,'Galletas_1.png', 'Galletas_2.png', 'Galletas_3.png'),
('Chocolate', 'Postres', 'Chocolates', 'Oscuro', 'Marca OO', '100 g', 'Chocolate oscuro 70% cacao', 2.80,'Chocolate_1.png', 'Chocolate_2.png', 'Chocolate_3.png'),
('Salsa de Tomate', 'Condimentos', 'Salsas', 'Tomate', 'Marca PP', '500 g', 'Salsa de tomate para pasta', 1.50,'Salsa de Tomate_1.png', 'Salsa de Tomate_2.png', 'Salsa de Tomate_3.png'),
('Mayonesa', 'Condimentos', 'Salsas', 'Mayonesa', 'Marca QQ', '200 g', 'Mayonesa sin huevo', 1.80,'Mayonesa_1.png', 'Mayonesa_2.png', 'Mayonesa_3.png'),
('Mostaza', 'Condimentos', 'Salsas', 'Mostaza', 'Marca RR', '200 g', 'Mostaza Dijon', 2.00,'Mostaza_1.png', 'Mostaza_2.png', 'Mostaza_3.png'),
('Jabón Líquido', 'Higiene', 'Cuidado Personal', 'Jabón', 'Marca SS', '500 ml', 'Jabón líquido hidratante', 3.20,'Jabón Líquido_1.png', 'Jabón Líquido_2.png', 'Jabón Líquido_3.png'),
('Champú', 'Higiene', 'Cuidado Personal', 'Champú', 'Marca TT', '400 ml', 'Champú para cabello seco', 4.50,'Champú_1.png', 'Champú_2.png', 'Champú_3.png'),
('Papel Higiénico', 'Higiene', 'Cuidado Personal', 'Papel', 'Marca UU', '12 rollos', 'Papel higiénico de 3 capas', 5.00,'Papel Higiénico_1.png', 'Papel Higiénico_2.png', 'Papel Higiénico_3.png'),
('Lysol Disinfectant Spray', 'Limpieza', 'Desinfectantes', 'Aerosol', 'Lysol', '500 g', 'Spray desinfectante para superficies', 5.99,'Lysol Disinfectant Spray_1.png', 'Lysol Disinfectant Spray_2.png', 'Lysol Disinfectant Spray_3.png'),
('Clorox Bleach', 'Limpieza', 'Desinfectantes', 'Líquido', 'Clorox', '1000 g', 'Blanqueador líquido para uso doméstico', 3.99,'Clorox Bleach_1.png', 'Clorox Bleach_2.png', 'Clorox Bleach_3.png'),
('Windex Glass Cleaner', 'Limpieza', 'Limpiavidrios', 'Líquido', 'Windex', '650 g', 'Limpiador de vidrios y superficies', 4.99,'Windex Glass Cleaner_1.png', 'Windex Glass Cleaner_2.png', 'Windex Glass Cleaner_3.png'),
('Mr. Clean Magic Eraser', 'Limpieza', 'Limpiadores Multiusos', 'Esponja', 'Mr. Clean', '50 g', 'Esponja limpiadora multiusos', 2.99,'Mr. Clean Magic Eraser_1.png', 'Mr. Clean Magic Eraser_2.png', 'Mr. Clean Magic Eraser_3.png'),
('Pledge Furniture Polish', 'Limpieza', 'Limpiadores de Muebles', 'Aerosol', 'Pledge', '300 g', 'Limpiador y abrillantador para muebles', 5.49,'Pledge Furniture Polish_1.png', 'Pledge Furniture Polish_2.png', 'Pledge Furniture Polish_3.png'),
('Swiffer WetJet', 'Limpieza', 'Mopas', 'Mopa', 'Swiffer', '1200 g', 'Mopa con sistema de limpieza húmeda', 24.99,'Swiffer WetJet_1.png', 'Swiffer WetJet_2.png', 'Swiffer WetJet_3.png'),
('Tide Laundry Detergent', 'Limpieza', 'Detergentes', 'Líquido', 'Tide', '2500 g', 'Detergente líquido para ropa', 12.99,'Tide Laundry Detergent_1.png', 'Tide Laundry Detergent_2.png', 'Tide Laundry Detergent_3.png'),
('Dawn Dish Soap', 'Limpieza', 'Lavaplatos', 'Líquido', 'Dawn', '700 g', 'Jabón líquido para lavar platos', 3.99,'Dawn Dish Soap_1.png', 'Dawn Dish Soap_2.png', 'Dawn Dish Soap_3.png'),
('Comet Cleaner with Bleach', 'Limpieza', 'Limpiadores Multiusos', 'Polvo', 'Comet', '600 g', 'Limpiador multiusos en polvo con blanqueador', 1.99,'Comet Cleaner with Bleach_1.png', 'Comet Cleaner with Bleach_2.png', 'Comet Cleaner with Bleach_3.png'),
('iPhone 13', 'Electrónica', 'Teléfonos Móviles', 'iOS', 'Apple', '173 g', 'Smartphone con pantalla de 6.1 pulgadas y 128GB de almacenamiento', 799.00,'iPhone 13_1.png', 'iPhone 13_2.png', 'iPhone 13_3.png'),
('MacBook Air M1', 'Electrónica', 'Computadoras Portátiles', 'Ultrabook', 'Apple', '1.29 kg', 'Ultrabook con chip M1 y 256GB de almacenamiento', 999.00,'MacBook Air M1_1.png', 'MacBook Air M1_2.png', 'MacBook Air M1_3.png'),
('iPad Pro', 'Electrónica', 'Tablets', 'iOS', 'Apple', '682 g', 'Tablet de 12.9 pulgadas con 128GB de almacenamiento', 1099.00,'iPad Pro_1.png', 'iPad Pro_2.png', 'iPad Pro_3.png'),
('Samsung Galaxy S21', 'Electrónica', 'Teléfonos Móviles', 'Android', 'Samsung', '169 g', 'Smartphone con pantalla de 6.2 pulgadas y 128GB de almacenamiento', 799.99,'Samsung Galaxy S21_1.png', 'Samsung Galaxy S21_2.png', 'Samsung Galaxy S21_3.png'),
('Dell XPS 13', 'Electrónica', 'Computadoras Portátiles', 'Ultrabook', 'Dell', '1.2 kg', 'Ultrabook con procesador i7 y 512GB de almacenamiento', 1249.00,'Dell XPS 13_1.png', 'Dell XPS 13_2.png', 'Dell XPS 13_3.png'),
('Sony WH-1000XM4', 'Electrónica', 'Audio', 'Auriculares', 'Sony', '254 g', 'Auriculares inalámbricos con cancelación de ruido', 348.00,'Sony WH-1000XM4_1.png', 'Sony WH-1000XM4_2.png', 'Sony WH-1000XM4_3.png'),
('Bose SoundLink', 'Electrónica', 'Audio', 'Altavoces', 'Bose', '660 g', 'Altavoz Bluetooth portátil', 129.00,'Bose SoundLink_1.png', 'Bose SoundLink_2.png', 'Bose SoundLink_3.png'),
('Logitech MX Master 3', 'Electrónica', 'Periféricos', 'Ratón', 'Logitech', '141 g', 'Ratón inalámbrico ergonómico', 99.99,'Logitech MX Master 3_1.png', 'Logitech MX Master 3_2.png', 'Logitech MX Master 3_3.png'),
('Nintendo Switch', 'Electrónica', 'Videojuegos', 'Consola', 'Nintendo', '297 g', 'Consola de videojuegos híbrida', 299.99,'Nintendo Switch_1.png', 'Nintendo Switch_2.png', 'Nintendo Switch_3.png'),
('Sony PlayStation 5', 'Electrónica', 'Videojuegos', 'Consola', 'Sony', '4.5 kg', 'Consola de videojuegos de nueva generación', 499.99,'Sony PlayStation 5_1.png', 'Sony PlayStation 5_2.png', 'Sony PlayStation 5_3.png'),
('Xbox Series X', 'Electrónica', 'Videojuegos', 'Consola', 'Microsoft', '4.45 kg', 'Consola de videojuegos de nueva generación', 499.99,'Xbox Series X_1.png', 'Xbox Series X_2.png', 'Xbox Series X_3.png'),
('Google Nest Hub', 'Electrónica', 'Domótica', 'Asistente Virtual', 'Google', '480 g', 'Pantalla inteligente con Asistente de Google', 89.99,'Google Nest Hub_1.png', 'Google Nest Hub_2.png', 'Google Nest Hub_3.png'),
('Amazon Echo Dot', 'Electrónica', 'Domótica', 'Asistente Virtual', 'Amazon', '300 g', 'Altavoz inteligente con Alexa', 49.99,'Amazon Echo Dot_1.png', 'Amazon Echo Dot_2.png', 'Amazon Echo Dot_3.png'),
('Fitbit Charge 5', 'Electrónica', 'Wearables', 'Reloj Inteligente', 'Fitbit', '28 g', 'Reloj inteligente con monitor de actividad física', 179.95,'Fitbit Charge 5_1.png', 'Fitbit Charge 5_2.png', 'Fitbit Charge 5_3.png'),
('Samsung Galaxy Watch 4', 'Electrónica', 'Wearables', 'Reloj Inteligente', 'Samsung', '30 g', 'Reloj inteligente con monitor de salud', 249.99,'Samsung Galaxy Watch 4_1.png', 'Samsung Galaxy Watch 4_2.png', 'Samsung Galaxy Watch 4_3.png'),
('Microsoft Surface Pro 7', 'Electrónica', 'Computadoras Portátiles', 'Convertible', 'Microsoft', '770 g', 'Tablet con teclado desmontable y procesador i5', 749.99,'Microsoft Surface Pro 7_1.png', 'Microsoft Surface Pro 7_2.png', 'Microsoft Surface Pro 7_3.png'),
('Asus ROG Zephyrus G14', 'Electrónica', 'Computadoras Portátiles', 'Gaming', 'Asus', '1.6 kg', 'Laptop para juegos con procesador Ryzen 9 y GPU RTX 3060', 1449.99,'Asus ROG Zephyrus G14_1.png', 'Asus ROG Zephyrus G14_2.png', 'Asus ROG Zephyrus G14_3.png'),
('HP Envy 6055', 'Electrónica', 'Impresoras', 'Multifunción', 'HP', '5.22 kg', 'Impresora multifunción inalámbrica', 129.99,'HP Envy 6055_1.png', 'HP Envy 6055_2.png', 'HP Envy 6055_3.png'),
('DJI Mavic Air 2', 'Electrónica', 'Drones', 'Drone', 'DJI', '570 g', 'Drone con cámara 4K y 34 minutos de vuelo', 799.00,'DJI Mavic Air 2_1.png', 'DJI Mavic Air 2_2.png', 'DJI Mavic Air 2_3.png'),
('Apple AirPods Pro', 'Electrónica', 'Audio', 'Auriculares', 'Apple', '56.4 g', 'Auriculares inalámbricos con cancelación de ruido', 249.00,'Apple AirPods Pro_1.png', 'Apple AirPods Pro_2.png', 'Apple AirPods Pro_3.png'),
('Google Pixel 6', 'Electrónica', 'Teléfonos Móviles', 'Android', 'Google', '207 g', 'Smartphone con pantalla de 6.4 pulgadas y 128GB de almacenamiento', 599.00,'Google Pixel 6_1.png', 'Google Pixel 6_2.png', 'Google Pixel 6_3.png'),
('OnePlus 9 Pro', 'Electrónica', 'Teléfonos Móviles', 'Android', 'OnePlus', '197 g', 'Smartphone con pantalla de 6.7 pulgadas y 256GB de almacenamiento', 969.00,'OnePlus 9 Pro_1.png', 'OnePlus 9 Pro_2.png', 'OnePlus 9 Pro_3.png'),
('Razer Blade 15', 'Electrónica', 'Computadoras Portátiles', 'Gaming', 'Razer', '2.1 kg', 'Laptop para juegos con procesador i7 y GPU RTX 3070', 1799.99,'Razer Blade 15_1.png', 'Razer Blade 15_2.png', 'Razer Blade 15_3.png'),
('Lenovo ThinkPad X1 Carbon', 'Electrónica', 'Computadoras Portátiles', 'Ultrabook', 'Lenovo', '1.09 kg', 'Ultrabook con procesador i7 y 1TB de almacenamiento', 1849.00,'Lenovo ThinkPad X1 Carbon_1.png', 'Lenovo ThinkPad X1 Carbon_2.png', 'Lenovo ThinkPad X1 Carbon_3.png'),
('Samsung Odyssey G9', 'Electrónica', 'Monitores', 'Curvo', 'Samsung', '14.1 kg', 'Monitor curvo de 49 pulgadas con resolución 5120x1440', 1399.99,'Samsung Odyssey G9_1.png', 'Samsung Odyssey G9_2.png', 'Samsung Odyssey G9_3.png'),
('HP Omen 30L', 'Electrónica', 'Computadoras de Escritorio', 'Gaming', 'HP', '12.86 kg', 'PC para juegos con procesador i9 y GPU RTX 3080', 2199.99,'HP Omen 30L_1.png', 'HP Omen 30L_2.png', 'HP Omen 30L_3.png'),
('GoPro HERO9', 'Electrónica', 'Fotografía', 'Cámara de Acción', 'GoPro', '158 g', 'Cámara de acción con grabación 5K', 399.99,'GoPro HERO9_1.png', 'GoPro HERO9_2.png', 'GoPro HERO9_3.png'),
('Apple Watch Series 7', 'Electrónica', 'Wearables', 'Reloj Inteligente', 'Apple', '32 g', 'Reloj inteligente con pantalla siempre activa', 399.00,'Apple Watch Series 7_1.png', 'Apple Watch Series 7_2.png', 'Apple Watch Series 7_3.png'),
('Canon PIXMA G5020', 'Electrónica', 'Impresoras', 'Inyección de Tinta', 'Canon', '6.5 kg', 'Impresora de tanque de tinta inalámbrica', 199.99,'Canon PIXMA G5020_1.png', 'Canon PIXMA G5020_2.png', 'Canon PIXMA G5020_3.png'),
('Sony A7 III', 'Electrónica', 'Fotografía', 'Mirrorless', 'Sony', '650 g', 'Cámara mirrorless con sensor full-frame de 24 MP', 1999.99,'Sony A7 III_1.png', 'Sony A7 III_2.png', 'Sony A7 III_3.png'),
('NVIDIA Shield TV Pro', 'Electrónica', 'Streaming', 'Set-top Box', 'NVIDIA', '250 g', 'Dispositivo de streaming 4K HDR', 199.99,'NVIDIA Shield TV Pro_1.png', 'NVIDIA Shield TV Pro_2.png', 'NVIDIA Shield TV Pro_3.png'),
('Roku Streaming Stick+', 'Electrónica', 'Streaming', 'Stick', 'Roku', '26 g', 'Dispositivo de streaming 4K con control remoto', 49.99,'Roku Streaming Stick+_1.png', 'Roku Streaming Stick+_2.png', 'Roku Streaming Stick+_3.png'),
('Alienware AW3420DW', 'Electrónica', 'Monitores', 'Curvo', 'Alienware', '11.8 kg', 'Monitor curvo de 34 pulgadas con resolución 3440x1440', 1199.99,'Alienware AW3420DW_1.png', 'Alienware AW3420DW_2.png', 'Alienware AW3420DW_3.png'),
('Western Digital My Passport', 'Electrónica', 'Almacenamiento', 'Disco Duro Externo', 'Western Digital', '120 g', 'Disco duro externo de 4TB', 119.99,'Western Digital My Passport_1.png', 'Western Digital My Passport_2.png', 'Western Digital My Passport_3.png'),
('Kingston DataTraveler', 'Electrónica', 'Almacenamiento', 'Memoria USB', 'Kingston', '10 g', 'Memoria USB de 128GB', 29.99,'Kingston DataTraveler_1.png', 'Kingston DataTraveler_2.png', 'Kingston DataTraveler_3.png'),
('Anker PowerCore 10000', 'Electrónica', 'Accesorios', 'Power Bank', 'Anker', '180 g', 'Batería portátil de 10000mAh', 25.99,'Anker PowerCore 10000_1.png', 'Anker PowerCore 10000_2.png', 'Anker PowerCore 10000_3.png'),
('TP-Link Archer AX50', 'Electrónica', 'Redes', 'Router', 'TP-Link', '580 g', 'Router WiFi 6 dual band', 149.99,'TP-Link Archer AX50_1.png', 'TP-Link Archer AX50_2.png', 'TP-Link Archer AX50_3.png'),
('Nest Learning Thermostat', 'Electrónica', 'Domótica', 'Termostato', 'Google', '240 g', 'Termostato inteligente con control remoto', 249.00,'Nest Learning Thermostat_1.png', 'Nest Learning Thermostat_2.png', 'Nest Learning Thermostat_3.png'),
('Sony PlayStation VR', 'Electrónica', 'Videojuegos', 'Realidad Virtual', 'Sony', '610 g', 'Sistema de realidad virtual para PlayStation 4 y 5', 349.99,'Sony PlayStation VR_1.png', 'Sony PlayStation VR_2.png', 'Sony PlayStation VR_3.png'),
('Oculus Quest 2', 'Electrónica', 'Realidad Virtual', 'Standalone', 'Oculus', '503 g', 'Gafas de realidad virtual todo en uno', 299.00,'Oculus Quest 2_1.png', 'Oculus Quest 2_2.png', 'Oculus Quest 2_3.png'),
('Glock 19', 'Armas', 'Pistolas', 'Semiautomática', 'Glock', '670 g', 'Pistola semiautomática de 9 mm con capacidad de 15 cartuchos', 600.00,'Glock 19_1.png', 'Glock 19_2.png', 'Glock 19_3.png'),
('Colt M1911', 'Armas', 'Pistolas', 'Semiautomática', 'Colt', '1105 g', 'Pistola semiautomática de .45 ACP con capacidad de 7 cartuchos', 950.00,'Colt M1911_1.png', 'Colt M1911_2.png', 'Colt M1911_3.png'),
('Smith & Wesson Model 29', 'Armas', 'Revólveres', 'Magnum', 'Smith & Wesson', '1200 g', 'Revólver de .44 Magnum con capacidad de 6 cartuchos', 1200.00,'Smith & Wesson Model 29_1.png', 'Smith & Wesson Model 29_2.png', 'Smith & Wesson Model 29_3.png'),
('Remington 870', 'Armas', 'Escopetas', 'Repetidora', 'Remington', '3500 g', 'Escopeta de acción por bombeo de calibre 12', 450.00,'Remington 870_1.png', 'Remington 870_2.png', 'Remington 870_3.png'),
('Mossberg 500', 'Armas', 'Escopetas', 'Repetidora', 'Mossberg', '3500 g', 'Escopeta de acción por bombeo de calibre 12', 400.00,'Mossberg 500_1.png', 'Mossberg 500_2.png', 'Mossberg 500_3.png'),
('AR-15', 'Armas', 'Rifles', 'Semiautomático', 'Colt', '3100 g', 'Rifle semiautomático de 5.56 mm con capacidad de 30 cartuchos', 900.00,'AR-15_1.png', 'AR-15_2.png', 'AR-15_3.png'),
('AK-47', 'Armas', 'Rifles', 'Automático', 'Kalashnikov', '4300 g', 'Rifle automático de 7.62 mm con capacidad de 30 cartuchos', 700.00,'AK-47_1.png', 'AK-47_2.png', 'AK-47_3.png'),
('M4 Carbine', 'Armas', 'Rifles', 'Semiautomático', 'Colt', '2900 g', 'Rifle semiautomático de 5.56 mm con capacidad de 30 cartuchos', 1500.00,'M4 Carbine_1.png', 'M4 Carbine_2.png', 'M4 Carbine_3.png'),
('Barrett M82', 'Armas', 'Rifles', 'Francotirador', 'Barrett', '14500 g', 'Rifle de francotirador de calibre .50 BMG', 8000.00,'Barrett M82_1.png', 'Barrett M82_2.png', 'Barrett M82_3.png'),
('Sig Sauer P226', 'Armas', 'Pistolas', 'Semiautomática', 'Sig Sauer', '964 g', 'Pistola semiautomática de 9 mm con capacidad de 15 cartuchos', 900.00,'Sig Sauer P226_1.png', 'Sig Sauer P226_2.png', 'Sig Sauer P226_3.png'),
('Heckler & Koch MP5', 'Armas', 'Subfusiles', 'Automático', 'Heckler & Koch', '2900 g', 'Subfusil automático de 9 mm con capacidad de 30 cartuchos', 2500.00,'Heckler & Koch MP5_1.png', 'Heckler & Koch MP5_2.png', 'Heckler & Koch MP5_3.png'),
('FN SCAR-H', 'Armas', 'Rifles', 'Automático', 'FN Herstal', '3600 g', 'Rifle automático de 7.62 mm con capacidad de 20 cartuchos', 3500.00,'FN SCAR-H_1.png', 'FN SCAR-H_2.png', 'FN SCAR-H_3.png'),
('RPG-7', 'Armas', 'Lanzacohetes', 'Portátil', 'Bazalt', '7000 g', 'Lanzacohetes antitanque portátil', 1500.00,'RPG-7_1.png', 'RPG-7_2.png', 'RPG-7_3.png'),
('Desert Eagle', 'Armas', 'Pistolas', 'Semiautomática', 'Magnum Research', '2000 g', 'Pistola semiautomática de .50 AE', 1500.00,'Desert Eagle_1.png', 'Desert Eagle_2.png', 'Desert Eagle_3.png'),
('Mossberg 590', 'Armas', 'Escopetas', 'Repetidora', 'Mossberg', '3500 g', 'Escopeta de acción por bombeo de calibre 12', 450.00,'Mossberg 590_1.png', 'Mossberg 590_2.png', 'Mossberg 590_3.png'),
('Benelli M4', 'Armas', 'Escopetas', 'Semiautomática', 'Benelli', '3600 g', 'Escopeta semiautomática de calibre 12', 2000.00,'Benelli M4_1.png', 'Benelli M4_2.png', 'Benelli M4_3.png'),
('Ruger 10/22', 'Armas', 'Rifles', 'Semiautomático', 'Ruger', '2300 g', 'Rifle semiautomático de calibre .22 LR con capacidad de 10 cartuchos', 300.00,'Ruger 10/22_1.png', 'Ruger 10/22_2.png', 'Ruger 10/22_3.png'),
('CZ 75', 'Armas', 'Pistolas', 'Semiautomática', 'CZ', '1000 g', 'Pistola semiautomática de 9 mm con capacidad de 16 cartuchos', 700.00,'CZ 75_1.png', 'CZ 75_2.png', 'CZ 75_3.png'),
('Walther P99', 'Armas', 'Pistolas', 'Semiautomática', 'Walther', '700 g', 'Pistola semiautomática de 9 mm con capacidad de 15 cartuchos', 650.00,'Walther P99_1.png', 'Walther P99_2.png', 'Walther P99_3.png'),
('Heckler & Koch G36', 'Armas', 'Rifles', 'Automático', 'Heckler & Koch', '3600 g', 'Rifle automático de 5.56 mm con capacidad de 30 cartuchos', 1800.00,'Heckler & Koch G36_1.png', 'Heckler & Koch G36_2.png', 'Heckler & Koch G36_3.png'),
('Winchester Model 70', 'Armas', 'Rifles', 'Cerrojo', 'Winchester', '3400 g', 'Rifle de cerrojo de calibre .30-06 Springfield', 800.00,'Winchester Model 70_1.png', 'Winchester Model 70_2.png', 'Winchester Model 70_3.png'),
('Taurus PT92', 'Armas', 'Pistolas', 'Semiautomática', 'Taurus', '960 g', 'Pistola semiautomática de 9 mm con capacidad de 17 cartuchos', 500.00,'Taurus PT92_1.png', 'Taurus PT92_2.png', 'Taurus PT92_3.png'),
('Beretta 92FS', 'Armas', 'Pistolas', 'Semiautomática', 'Beretta', '950 g', 'Pistola semiautomática de 9 mm con capacidad de 15 cartuchos', 600.00,'Beretta 92FS_1.png', 'Beretta 92FS_2.png', 'Beretta 92FS_3.png');
